日期,小程序（浏览量）,小程序（访客量）,淘宝（浏览量）,淘宝（访客量）,掌上大学,总计,文章的阅读量,淘宝特点活动,,,,,,,,,,,,,,,,
02-21,16,4,184,23,0,227,2002,,,,,,,,,,,,,,,,,
02-22,7,2,114,30,0,153,2177,,,,,,,,,,,,,,,,,
02-23,8,1,155,18,0,182,712,,,,,,,,,,,,,,,,,
02-24,22,3,119,19,0,163,685,,,,,,,,,,,,,,,,,
02-25,3,1,102,31,0,137,685,,,,,,,,,,,,,,,,,
02-26,13,4,127,28,0,172,1290,,,,,,,,,,,,,,,,,
02-27,4,2,79,22,0,107,685,,,,,,,,,,,,,,,,,
02-28,73,12,123,28,40,276,423,,,,,,,,,,,,,,,,,
03-01,33,18,143,33,6,233,3199,,,,,,,,,,,,,,,,,
03-02,20,4,158,32,0,214,2791,,,,,,,,,,,,,,,,,
03-03,45,14,142,33,1,235,1470,2022.3.4~2022.3.8 ：情人节,,,,,,,,,,,,,,,,
03-04,28,10,154,34,0,226,701,2022.3.4~2022.3.8 ：情人节,,,,,,,,,,,,,,,,
03-05,12,6,50,17,0,85,567,2022.3.4~2022.3.8 ：情人节,,,,,,,,,,,,,,,,
03-06,2,2,46,15,0,65,715,2022.3.4~2022.3.8 ：情人节,0,,,,,,,,,,,,,,,
03-07,193,27,34,9,1,264,1780,2022.3.4~2022.3.8 ：情人节,,,,,,,,,,,,,,,,
03-08,115,35,91,16,0,257,732,2022.3.4~2022.3.8 ：情人节,,,,,,,,,,,,,,,,
03-09,221,35,150,29,0,435,479,,,,,,,,,,,,,,,,,
03-10,188,32,124,20,4,368,1202,,,,,,,,,,,,,,,,,
03-11,158,28,779,62,0,1027,685,,,,,,,,,,,,,,,,,
03-12,66,31,50,8,1,156,685,,,,,,,,,,,,,,,,,
03-13,107,37,31,5,1,181,1367,,,,,,,,,,,,,,,,,
03-14,40,9,133,28,0,210,87,,,,,,,,,,,,,,,,,
03-15,77,13,162,29,1,282,1404,,,,,,,,,,,,,,,,,
03-16,429,35,117,35,0,616,685,,,,,,,,,,,,,,,,,
03-17,95,11,131,33,3,273,159,,,,,,,,,,,,,,,,,
03-18,136,13,273,45,12,479,685,加购即赠眼霜棒,,,,,,,,,,,,,,,,
03-19,98,17,209,52,/,376,702,加购即赠眼霜棒,,,,,,,,,,,,,,,,
03-20,3,2,395,110,0,510,89,加购即赠眼霜棒,,,,,,,,,,,,,,,,
03-21,1,1,251,114,,367,95,,,,,,,,,,,,,,,,,
03-22,111,17,200,77,,405,46,,,,,,,,,,,,,,,,,
03-23,45,13,196,50,,304,1218,,,,,,,,,,,,,,,,,
03-24,31,11,250,48,,340,513,,,,,,,,,,,,,,,,,
03-25,260,71,180,55,,566,685,,,,,,,,,,,,,,,,,
03-26,248,73,197,58,,576,10,,,,,,,,,,,,,,,,,
03-27,222,62,73,24,,381,685,,,,,,,,,,,,,,,,,
03-28,87,27,138,24,,276,441,,,,,,,,,,,,,,,,,
03-29,15,8,128,41,,192,430,,,,,,,,,,,,,,,,,
03-30,187,32,165,33,,417,34,,,,,,,,,,,,,,,,,
03-31,358,118,66,16,,558,1,,,,,,,,,,,,,,,,,
04-01,462,143,62,21,,688,2883,,,,,,,,,,,,,,,,,
04-02,207,38,106,32,,383,685,,,,,,,,,,,,,,,,,
04-03,35,7,64,22,,128,685,,,,,,,,,,,,,,,,,
04-04,5,4,107,28,,144,685,清明节（没有活动）,,,,,,,,,,,,,,,,
04-05,1,1,65,26,,93,685,清明节（没有活动）,,,,,,,,,,,,,,,,
04-06,23,7,107,39,,176,140,,,,,,,,,,,,,,,,,
04-07,17,7,129,16,,169,685,,,,,,,,,,,,,,,,,
04-08,67,9,95,10,,181,145,,,,,,,,,,,,,,,,,
04-09,25,6,68,18,,117,685,,,,,,,,,,,,,,,,,
04-10,0,0,49,28,,77,155,,,,,,,,,,,,,,,,,
04-11,,,,,,,,,,,,,,,,,,,,,,,,
04-12,,,,,,,,,,,,,,,,,,,,,,,,
04-13,,,,,,,,,,,,,,,,,,,,,,,,
04-14,,,,,,,,,,,,,,,,,,,,,,,,
04-15,,,,,,,,,,,,,,,,,,,,,,,,
04-16,,,,,,,,,,,,,,,,,,,,,,,,
04-17,,,,,,,,,,,,,,,,,,,,,,,,
04-18,,,,,,,,,,,,,,,,,,,,,,,,
04-19,,,,,,,,,,,,,,,,,,,,,,,,
04-20,,,,,,,,,,,,,,,,,,,,,,,,
04-21,,,,,,,,,,,,,,,,,,,,,,,,
04-22,,,,,,,,,,,,,,,,,,,,,,,,
04-23,,,,,,,,,,,,,,,,,,,,,,,,
04-24,,,,,,,,,,,,,,,,,,,,,,,,
04-25,,,,,,,,,,,,,,,,,,,,,,,,
04-26,,,,,,,,,,,,,,,,,,,,,,,,
04-27,,,,,,,,,,,,,,,,,,,,,,,,
04-28,,,,,,,,,,,,,,,,,,,,,,,,
04-29,,,,,,,,,,,,,,,,,,,,,,,,
04-30,,,,,,,,,,,,,,,,,,,,,,,,
05-01,,,,,,,,,,,,,,,,,,,,,,,,
05-02,,,,,,,,,,,,,,,,,,,,,,,,
05-03,,,,,,,,,,,,,,,,,,,,,,,,
05-04,,,,,,,,,,,,,,,,,,,,,,,,
05-05,,,,,,,,,,,,,,,,,,,,,,,,
05-06,,,,,,,,,,,,,,,,,,,,,,,,
05-07,,,,,,,,,,,,,,,,,,,,,,,,
05-08,,,,,,,,,,,,,,,,,,,,,,,,
05-09,,,,,,,,,,,,,,,,,,,,,,,,
05-10,,,,,,,,,,,,,,,,,,,,,,,,
05-11,,,,,,,,,,,,,,,,,,,,,,,,
05-12,,,,,,,,,,,,,,,,,,,,,,,,
05-13,,,,,,,,,,,,,,,,,,,,,,,,
05-14,,,,,,,,,,,,,,,,,,,,,,,,
05-15,,,,,,,,,,,,,,,,,,,,,,,,
05-16,,,,,,,,,,,,,,,,,,,,,,,,
05-17,,,,,,,,,,,,,,,,,,,,,,,,
05-18,,,,,,,,,,,,,,,,,,,,,,,,
05-19,,,,,,,,,,,,,,,,,,,,,,,,
05-20,,,,,,,,,,,,,,,,,,,,,,,,
05-21,,,,,,,,,,,,,,,,,,,,,,,,
05-22,,,,,,,,,,,,,,,,,,,,,,,,
05-23,,,,,,,,,,,,,,,,,,,,,,,,
05-24,,,,,,,,,,,,,,,,,,,,,,,,
05-25,,,,,,,,,,,,,,,,,,,,,,,,
05-26,,,,,,,,,,,,,,,,,,,,,,,,
05-27,,,,,,,,,,,,,,,,,,,,,,,,
05-28,,,,,,,,,,,,,,,,,,,,,,,,
05-29,,,,,,,,,,,,,,,,,,,,,,,,
05-30,,,,,,,,,,,,,,,,,,,,,,,,
05-31,,,,,,,,,,,,,,,,,,,,,,,,
06-01,,,,,,,,,,,,,,,,,,,,,,,,
